loja,despesa
Supermercado,200
Supermercado,250
Supermercado,220
Supermercado,300
Supermercado,180
Supermercado,270
Supermercado,210
Supermercado,310
Supermercado,190
Supermercado,260
Supermercado,230
Supermercado,280
Supermercado,240
Supermercado,290
Supermercado,250
Supermercado,220
Supermercado,270
Supermercado,210
Supermercado,320
Supermercado,200
Farmácia,100
Farmácia,120
Farmácia,110
Farmácia,90
Farmácia,130
Farmácia,115
Farmácia,105
Farmácia,125
Farmácia,140
Farmácia,135
Farmácia,110
Farmácia,95
Farmácia,120
Farmácia,105
Farmácia,130
Farmácia,140
Farmácia,115
Farmácia,125
Farmácia,110
Farmácia,135
Farmácia,100
Roupas,300
Roupas,400
Roupas,350
Roupas,450
Roupas,380
Roupas,320
Roupas,410
Roupas,340
Roupas,360
Roupas,370
Roupas,430
Roupas,420
Roupas,380
Roupas,440
Roupas,390
Roupas,410
Roupas,430
Roupas,420
Roupas,440
Roupas,350
Roupas,360
Eletrônicos,500
Eletrônicos,480
Eletrônicos,520
Eletrônicos,550
Eletrônicos,510
Eletrônicos,490
Eletrônicos,530
Eletrônicos,570
Eletrônicos,550
Eletrônicos,480
Eletrônicos,560
Eletrônicos,540
Eletrônicos,510
Eletrônicos,530
Eletrônicos,550
Eletrônicos,570
Eletrônicos,520
Eletrônicos,540
Eletrônicos,550
Eletrônicos,560
Eletrônicos,580
Livraria,150
Livraria,170
Livraria,160
Livraria,180
Livraria,175
Livraria,165
Livraria,155
Livraria,160
Livraria,170
Livraria,180
Livraria,175
Livraria,150
Livraria,155
Livraria,165
Livraria,160
Livraria,180
Livraria,175
Livraria,170
Livraria,155
Livraria,160
Restaurante,220
Restaurante,250
Restaurante,240
Restaurante,230
Restaurante,260
Restaurante,245
Restaurante,235
Restaurante,225
Restaurante,255
Restaurante,245
Restaurante,250
Restaurante,240
Restaurante,230
Restaurante,260
Restaurante,245
Restaurante,235
Restaurante,225
Restaurante,250
Restaurante,240
Restaurante,255
Restaurante,245
Supermercado,210
Farmácia,100
Roupas,300
Eletrônicos,500
Livraria,150
Restaurante,220
Supermercado,220
Farmácia,110
Roupas,350
Eletrônicos,520
Livraria,160
Restaurante,240
Supermercado,250
Farmácia,120
Roupas,400
Eletrônicos,540
Livraria,170
Restaurante,250
Supermercado,270
Farmácia,130
Roupas,420
Eletrônicos,560
Livraria,180
Restaurante,260
Supermercado,280
Farmácia,140
Roupas,430
Eletrônicos,580
Livraria,190
Restaurante,270
Supermercado,290
Farmácia,150
Roupas,440
Eletrônicos,590
Livraria,200
Restaurante,280
Supermercado,300
Farmácia,160
Roupas,450
Eletrônicos,600
Livraria,210
Restaurante,290
Supermercado,310
Farmácia,170
Roupas,460
Eletrônicos,610
Livraria,220
Restaurante,300
Supermercado,320
Farmácia,180
Roupas,470
Eletrônicos,620
Livraria,230
Restaurante,310
Supermercado,330
Farmácia,190
Roupas,480
Eletrônicos,630
Livraria,240
Restaurante,320
Supermercado,340
Farmácia,200
Roupas,490
